Org code - RF4,Region - London Commissioning Region,"Name - Barking, Havering and Redbridge University Hospitals NHS Trust",STP - NHS North East London Integrated Care Board,"STP.1 - Bath and North East Somerset, Swindon and Wiltshire STP",Code - QOX,"NHS BATH AND NORTH EAST SOMERSET, SWINDON AND WILTSHIRE INTEGRATED CARE BOARD","NHS Bath And North East Somerset, Swindon And Wiltshire Integrated Care Board"
RFF,North East and Yorkshire Commissioning Region,Barnsley Hospital NHS Foundation Trust,NHS South Yorkshire Integrated Care Board,,,,
RP5,North East and Yorkshire Commissioning Region,Doncaster and Bassetlaw Teaching Hospitals NHS Foundation Trust,NHS South Yorkshire Integrated Care Board,,,,
RCU,North East and Yorkshire Commissioning Region,Sheffield Children'S NHS Foundation Trust,NHS South Yorkshire Integrated Care Board,,,,
RHQ,North East and Yorkshire Commissioning Region,Sheffield Teaching Hospitals NHS Foundation Trust,NHS South Yorkshire Integrated Care Board,,,,
RFR,North East and Yorkshire Commissioning Region,The Rotherham NHS Foundation Trust,NHS South Yorkshire Integrated Care Board,,,,
RCF,North East and Yorkshire Commissioning Region,Airedale NHS Foundation Trust,NHS West Yorkshire Integrated Care Board,,,,
RAE,North East and Yorkshire Commissioning Region,Bradford Teaching Hospitals NHS Foundation Trust,NHS West Yorkshire Integrated Care Board,,,,
RWY,North East and Yorkshire Commissioning Region,Calderdale and Huddersfield NHS Foundation Trust,NHS West Yorkshire Integrated Care Board,,,,
RCD,North East and Yorkshire Commissioning Region,Harrogate and District NHS Foundation Trust,NHS Humber And North Yorkshire Integrated Care Board,,,,
ARN02,North East and Yorkshire Commissioning Region,Lcd-Leeds-Ooh,NHS West Yorkshire Integrated Care Board,,,,
RR8,North East and Yorkshire Commissioning Region,Leeds Teaching Hospitals NHS Trust,NHS West Yorkshire Integrated Care Board,,,,
ARN03,North East and Yorkshire Commissioning Region,Local Care Direct Ooh,NHS West Yorkshire Integrated Care Board,,,,
RXF,North East and Yorkshire Commissioning Region,Mid Yorkshire Teaching NHS Trust,NHS West Yorkshire Integrated Care Board,,,,
Y02572,North East and Yorkshire Commissioning Region,Park Community Practice ,NHS West Yorkshire Integrated Care Board,,,,
AXT02,North East and Yorkshire Commissioning Region,Shakespeare Walk-In Centre,NHS West Yorkshire Integrated Care Board,,,,
RXG,North East and Yorkshire Commissioning Region,South West Yorkshire Partnership NHS Foundation Trust,NHS West Yorkshire Integrated Care Board,,,,
NQT1I,South West Commissioning Region,Chippenham Community Hospital,"NHS Bath And North East Somerset, Swindon And Wiltshire Integrated Care Board",,,,
Y00058,South West Commissioning Region,Carfax Health Enterprise,"NHS Bath And North East Somerset, Swindon And Wiltshire Integrated Care Board",,,,
RN3,South West Commissioning Region,Great Western Hospitals NHS Foundation Trust,"NHS Bath And North East Somerset, Swindon And Wiltshire Integrated Care Board",,,,
NLX02,South West Commissioning Region,Paulton Memorial Hospital,"NHS Bath And North East Somerset, Swindon And Wiltshire Integrated Care Board",,,,
NQT5H,South West Commissioning Region,Paulton Memorial Hospital,"NHS Bath And North East Somerset, Swindon And Wiltshire Integrated Care Board",,,,
RD1,South West Commissioning Region,Royal United Hospitals Bath NHS Foundation Trust,"NHS Bath And North East Somerset, Swindon And Wiltshire Integrated Care Board",,,,
RNZ,South West Commissioning Region,Salisbury NHS Foundation Trust,"NHS Bath And North East Somerset, Swindon And Wiltshire Integrated Care Board",,,,
Y02666,South West Commissioning Region,Salisbury Walk-In Hc,"NHS Bath And North East Somerset, Swindon And Wiltshire Integrated Care Board",,,,
G3P9C,South West Commissioning Region,Trowbridge Minor Injuries Unit,"NHS Bath And North East Somerset, Swindon And Wiltshire Integrated Care Board",,,,
AXG,South West Commissioning Region,Wiltshire Health and Care,"NHS Bath And North East Somerset, Swindon And Wiltshire Integrated Care Board",,,,
NLX,South West Commissioning Region,Sirona Health Care,"NHS Bristol, North Somerset And South Gloucestershire Integrated Care Board",,,,
RVJ,South West Commissioning Region,North Bristol NHS Trust,"NHS Bristol, North Somerset And South Gloucestershire Integrated Care Board",,,,
RA7,South West Commissioning Region,University Hospitals Bristol and Weston NHS Foundation Trust,"NHS Bristol, North Somerset And South Gloucestershire Integrated Care Board",,,,
NLX24,South West Commissioning Region,Yate West Gate Centre,"NHS Bristol, North Somerset And South Gloucestershire Integrated Care Board",,,,
NQT10,South East Commissioning Region,Assura Reading Llp,"NHS Buckinghamshire, Oxfordshire And Berkshire West Integrated Care Board",,,,
RWX,South East Commissioning Region,Berkshire Healthcare NHS Foundation Trust,"NHS Buckinghamshire, Oxfordshire And Berkshire West Integrated Care Board",,,,
RXQ,South East Commissioning Region,Buckinghamshire Healthcare NHS Trust,"NHS Buckinghamshire, Oxfordshire And Berkshire West Integrated Care Board",,,,
RNU,South East Commissioning Region,Oxford Health NHS Foundation Trust,"NHS Buckinghamshire, Oxfordshire And Berkshire West Integrated Care Board",,,,
RTH,South East Commissioning Region,Oxford University Hospitals NHS Foundation Trust,"NHS Buckinghamshire, Oxfordshire And Berkshire West Integrated Care Board",,,,
RHW,South East Commissioning Region,Royal Berkshire NHS Foundation Trust,"NHS Buckinghamshire, Oxfordshire And Berkshire West Integrated Care Board",,,,
RJ8,South West Commissioning Region,Cornwall Partnership NHS Foundation Trust,NHS Cornwall And The Isles Of Scilly Integrated Care Board,,,,
REF,South West Commissioning Region,Royal Cornwall Hospitals NHS Trust,NHS Cornwall And The Isles Of Scilly Integrated Care Board,,,,
DD401,South West Commissioning Region,Exmouth Minor Injury Unit,NHS Devon Integrated Care Board,,,,
NR5,South West Commissioning Region,Livewell Southwest,NHS Devon Integrated Care Board,,,,
RBZ,South West Commissioning Region,Northern Devon Healthcare NHS Trust,NHS Devon Integrated Care Board,,,,
L83087,South West Commissioning Region,Okehampton Medical Centre,NHS Devon Integrated Care Board,,,,
RK9,South West Commissioning Region,University Hospitals Plymouth NHS Trust,NHS Devon Integrated Care Board,,,,
RH8,South West Commissioning Region,Royal Devon University Healthcare NHS Foundation Trust,NHS Devon Integrated Care Board,,,,
RA9,South West Commissioning Region,Torbay and South Devon NHS Foundation Trust,NHS Devon Integrated Care Board,,,,
RBD,South West Commissioning Region,Dorset County Hospital NHS Foundation Trust,NHS Dorset Integrated Care Board,,,,
RDY,South West Commissioning Region,Dorset Healthcare University NHS Foundation Trust,NHS Dorset Integrated Care Board,,,,
RYF,South West Commissioning Region,South Western Ambulance Service NHS Foundation Trust,NHS Devon Integrated Care Board,,,,
R0D,South West Commissioning Region,University Hospitals Dorset NHS Foundation Trust,NHS Dorset Integrated Care Board,,,,
Y02584,South West Commissioning Region,Walk In Centre,NHS Dorset Integrated Care Board,,,,
Y02584,South West Commissioning Region,Walk In Centre,NHS Dorset Integrated Care Board,,,,
Y04538,South East Commissioning Region,Bracknell Urgent Care Centre Wic,NHS Frimley Integrated Care Board,,,,
Y00751,South East Commissioning Region,East Berks Primary Care Ooh,NHS Frimley Integrated Care Board,,,,
RDU,South East Commissioning Region,Frimley Health NHS Foundation Trust,NHS Frimley Integrated Care Board,,,,
RTQ,South East Commissioning Region,Gloucestershire Health and Care NHS Foundation Trust,NHS Gloucestershire Integrated Care Board,,,,
RTE,South East Commissioning Region,Gloucestershire Hospitals NHS Foundation Trust,NHS Gloucestershire Integrated Care Board,,,,
AAH,South East Commissioning Region,Tetbury Hospital Trust Ltd,NHS Gloucestershire Integrated Care Board,,,,
RN5,South East Commissioning Region,Hampshire Hospitals NHS Foundation Trust,NHS Hampshire And Isle Of Wight Integrated Care Board,,,,
R1F,South East Commissioning Region,Isle of Wight NHS Trust,NHS Hampshire And Isle Of Wight Integrated Care Board,,,,
RHU,South East Commissioning Region,Portsmouth Hospitals University National Health Service Trust,NHS Hampshire And Isle Of Wight Integrated Care Board,,,,
AQN04,South East Commissioning Region,PHL LYMINGTON UTC,NHS Hampshire And Isle Of Wight Integrated Care Board,,,,
NTP11,South East Commissioning Region,Southampton NHS Treatment Centre,NHS Hampshire And Isle Of Wight Integrated Care Board,,,,
RW1,South East Commissioning Region,Southern Health NHS Foundation Trust,NHS Hampshire And Isle Of Wight Integrated Care Board,,,,
NTPAD,South East Commissioning Region,St Mary'S NHS Treatment Centre,NHS Hampshire And Isle Of Wight Integrated Care Board,,,,
RHM,South East Commissioning Region,University Hospital Southampton NHS Foundation Trust,NHS Hampshire And Isle Of Wight Integrated Care Board,,,,
RN7,South East Commissioning Region,Dartford and Gravesham NHS Trust,NHS Kent And Medway Integrated Care Board,,,,
ACH01,South East Commissioning Region,WHITSTABLE MEDICAL PRACTICE,NHS Kent And Medway Integrated Care Board,,,,
RVV,South East Commissioning Region,East Kent Hospitals University NHS Foundation Trust,NHS Kent And Medway Integrated Care Board,,,,
AQM01,South East Commissioning Region,Faversham Medical Practice MIU,NHS Kent And Medway Integrated Care Board,,,,
DJV01,South East Commissioning Region,Herne Bay Health Care LTD,NHS Kent And Medway Integrated Care Board,,,,
RYY,South East Commissioning Region,Kent Community Health NHS Foundation Trust,NHS Kent And Medway Integrated Care Board,,,,
RWF,South East Commissioning Region,Maidstone and Tunbridge Wells NHS Trust,NHS Kent And Medway Integrated Care Board,,,,
RPA,South East Commissioning Region,Medway NHS Foundation Trust,NHS Kent And Medway Integrated Care Board,,,,
RH5,South West Commissioning Region,Somerset NHS Foundation Trust,NHS Somerset Integrated Care Board,,,,
RA4,South West Commissioning Region,Yeovil District Hospital NHS Foundation Trust,NHS Somerset Integrated Care Board,,,,
RTK,South East Commissioning Region,Ashford and St Peter'S Hospitals NHS Foundation Trust,NHS Surrey Heartlands Integrated Care Board,,,,
Y02688,South East Commissioning Region,Ashford Health Centre,NHS Surrey Heartlands Integrated Care Board,,,,
NTV0b,South East Commissioning Region,Ashford Walk-In-Centre,NHS Surrey Heartlands Integrated Care Board,,,,
NDA57,South East Commissioning Region,Haslemere Minor Injuries Unit,NHS Surrey Heartlands Integrated Care Board,,,,
RA2,South East Commissioning Region,Royal Surrey County Hospital NHS Foundation Trust,NHS Surrey Heartlands Integrated Care Board,,,,
NDA56,South East Commissioning Region,Weybridge Walk In Centre,NHS Surrey Heartlands Integrated Care Board,,,,
NTV1M,South East Commissioning Region,Weybridge Walk In Centre,NHS Surrey Heartlands Integrated Care Board,,,,
NTV0W,South East Commissioning Region,Woking Walk In Center ,NHS Surrey Heartlands Integrated Care Board,,,,
NDA55,South East Commissioning Region,Woking Walk In Centre,NHS Surrey Heartlands Integrated Care Board,,,,
RTP,South East Commissioning Region,Surrey and Sussex Healthcare NHS Trust,NHS Surrey Heartlands Integrated Care Board,,,,
Y02676,South East Commissioning Region,Brighton Station Walk In Centre,NHS Sussex Integrated Care Board,,,,
RXC,South East Commissioning Region,East Sussex Healthcare NHS Trust,NHS Sussex Integrated Care Board,,,,
Y02816,South East Commissioning Region,Eastbourne Station Health Centre,NHS Sussex Integrated Care Board,,,,
NDJ,South East Commissioning Region,First Community Health and Care Cic,NHS Sussex Integrated Care Board,,,,
NVE43,South East Commissioning Region,Hastings GP Led Health Centre,NHS Sussex Integrated Care Board,,,,
RPC,South East Commissioning Region,Queen Victoria Hospital NHS Foundation Trust,NHS Sussex Integrated Care Board,,,,
RDR,South East Commissioning Region,Sussex Community NHS Foundation Trust,NHS Sussex Integrated Care Board,,,,
RYR,South East Commissioning Region,Western Sussex Hospitals NHS Foundation Trust,NHS Sussex Integrated Care Board,,,,
